11269697817,23300000
11269697826,22220000
11269697658,230000000
11269697659,11540000
11269697660,230000000
11269697665,11760000
11269697669,11430000
11269697842,45000000
11269697848,17650000
11269697850,50000000
13560196240,22500000
11269697862,11110000
11269697678,21820000
11269697866,27480000
11269697686,3000000
11269697874,30000000
13560412971,50000000
11269697696,30000000
11269697909,58060000
11269697918,120000000
11269697924,24000000
11269697937,30000000
11269697960,40680000
11269697962,11650000
11269697974,23080000
11269697976,23300000
11269697990,20870000
11269698038,31000000
11269698109,30000000
11269697795,11650000
